Material,Material Description,Plant,UD code,Batch,Date of Manufacture,SLED/BBD,Created on,Inspection Lot,Short text for the characteristic,Original Value,Lower tolerance limit,Upper tol. limit,InfoField2
ENFC20100-DR000200,ALMATEX C201,RB11,A,CH7006,09-08-17,09-08-18,09-08-17,40000037759,Viscosity,A099,,,JIS K5400
ENFC20100-DR000200,ALMATEX C201,RB11,A,CL7007,06-11-17,06-11-18,07-11-17,40000040635,Acid Value,12.8,12.0,15.0,JIS K5407
ENFC20100-DR000200,ALMATEX C201,RB11,A,CL7007,06-11-17,06-11-18,07-11-17,40000040635,Appearance,A012,,,Visual Check
ENFC20100-DR000200,ALMATEX C201,RB11,A,CL7007,06-11-17,06-11-18,07-11-17,40000040635,Color,1,-999,3,JIS K5400
ENFC20100-DR000200,ALMATEX C201,RB11,A,CL7007,06-11-17,06-11-18,07-11-17,40000040635,Non Volatile Content,67.8,67.0,69.0,JIS K5407
ENFC20100-DR000200,ALMATEX C201,RB11,A,CL7007,06-11-17,06-11-18,07-11-17,40000040635,Viscosity,A096,,,JIS K5400
ENFC20100-DR000200,ALMATEX C201,RB11,A,CL7008,22-11-17,22-11-18,25-11-17,40000041497,Acid Value,12.9,12.0,15.0,JIS K5407
ENFC20100-DR000200,ALMATEX C201,RB11,A,CL7008,22-11-17,22-11-18,25-11-17,40000041497,Appearance,A012,,,Visual Check
ENFC20100-DR000200,ALMATEX C201,RB11,A,CL7008,22-11-17,22-11-18,25-11-17,40000041497,Color,1,-999,3,JIS K5400
ENFC20100-DR000200,ALMATEX C201,RB11,A,CL7008,22-11-17,22-11-18,25-11-17,40000041497,Non Volatile Content,68.3,67.0,69.0,JIS K5407
ENFC20100-DR000200,ALMATEX C201,RB11,A,CL7008,22-11-17,22-11-18,25-11-17,40000041497,Viscosity,A097,,,JIS K5400
ENFC20100-DR000200,ALMATEX C201,RB11,A,CM7009,05-12-17,05-12-18,06-12-17,40000041834,Acid Value,12.8,12.0,15.0,JIS K5407
ENFC20100-DR000200,ALMATEX C201,RB11,A,CM7009,05-12-17,05-12-18,06-12-17,40000041834,Appearance,A012,,,Visual Check
ENFC20100-DR000200,ALMATEX C201,RB11,A,CM7009,05-12-17,05-12-18,06-12-17,40000041834,Color,1,-999,3,JIS K5400
ENFC20100-DR000200,ALMATEX C201,RB11,A,CM7009,05-12-17,05-12-18,06-12-17,40000041834,Non Volatile Content,67.1,67.0,69.0,JIS K5407
ENFC20100-DR000200,ALMATEX C201,RB11,A,CM7009,05-12-17,05-12-18,06-12-17,40000041834,Viscosity,A096,,,JIS K5400
ENFC20100-DR000200,ALMATEX C201,RB11,A,CM7010,20-12-17,20-12-18,21-12-17,40000042554,Acid Value,13.0,12.0,15.0,JIS K5407
ENFC20100-DR000200,ALMATEX C201,RB11,A,CM7010,20-12-17,20-12-18,21-12-17,40000042554,Appearance,A012,,,Visual Check
ENFC20100-DR000200,ALMATEX C201,RB11,A,CM7010,20-12-17,20-12-18,21-12-17,40000042554,Color,1,-999,3,JIS K5400
ENFC20100-DR000200,ALMATEX C201,RB11,A,CM7010,20-12-17,20-12-18,21-12-17,40000042554,Non Volatile Content,67.6,67.0,69.0,JIS K5407
ENFC20100-DR000200,ALMATEX C201,RB11,A,CM7010,20-12-17,20-12-18,21-12-17,40000042554,Viscosity,A103,,,JIS K5400
ENFC20700-DR000200,ALMATEX C207,RB11,A,CD7001,08-04-17,08-04-18,09-04-17,40000033623,Acid Value,12.2,12.0,15.0,JIS K5407
ENFC20700-DR000200,ALMATEX C207,RB11,A,CD7001,08-04-17,08-04-18,09-04-17,40000033623,Appearance,A012,,,Visual Check
